"id","Crime_Total_i","Assault_Total_i","Theft_Total_i","April_Crime_Total_i","Assault_April_i","Theft_April_i","April_Assault_Crime_Rate_s","April_Theft_Crime_Rate_s","April_Crime_Rate__From_Year_s"
"2009_64217",5,0,3,1,0,0,"0.00%","0.00%","20.00%"
"2009_64218",2,2,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64219",1,0,0,1,0,0,"0.00%","0.00%","100.00%"
"2009_64220",2,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64230",1,1,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64234",4,1,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64312",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64406",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64418",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64456",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64511",1,0,0,0,0,0,"0.00%","0.00%","0.00%"
"2009_64518",1,0,1,0,0,0,"0.00%","0.00%","0.00%"
"2009_64580",1,0,1,1,0,1,"0.00%","100.00%","100.00%"
